Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,Album Label/Number,Title,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week
2010,37,h,2010_035,34,27,11,1,5,,Jason DeRulo,"DeRulo, Jason",,,s,,In My Head,3:19,,,,8052,,,Beluga Heights Digital,DD,,,,,"J.Desrouleaux,J.Rotem,C.Kelly",2878,26/12/2009,24/04/2010,63,70,59,50,44,37,28,14,11,9,9,10,8,10,12,11,9,5,6,7,9,13,10,15,17,18,20,24,28,28,26,32,41,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,203,h,2010_036,21,20,7,1,5,,Drake,Drake,,,Thank Me Later,,Find Your Love,3:29,,,,8036,,,Aspire/Young Money/Cash Money DIGITAL,DD,,,,,"A.Graham,K.West,J.Bhasker,P.Reynolds",1928,22/05/2010,03/07/2010,34,20,20,15,13,10,5,6,8,9,9,9,12,12,13,18,21,23,25,34,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,68,h,2010_037,20,18,5,1,5,,Justin Bieber,"Bieber, Justin",Featuring Ludacris,,s,,Baby,3:36,,,,8047,,,School Boy/Raymond Braun/Island Digital,DD,,,,,"T.Nash,C.A.Stewart,J.Bieber,C.Milian,C.Bridges",1720,06/02/2010,06/02/2010,5,25,25,19,13,13,14,12,10,8,8,9,16,21,26,38,38,38,50,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,194,h,2010_038,29,25,11,4,6,,Mike Posner,"Posner, Mike",Featuring Big Sean,,Cooler Than Me - EP,,Cooler Than Me,3:47,,,3:34,8095,,,J Digital,DD,,,,,"M.Posner,E.Holljes",2514,15/05/2010,17/07/2010,85,64,54,40,31,19,14,8,7,6,7,6,7,6,7,6,7,8,11,13,15,16,19,20,25,28,35,38,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,158,h,2010_039,23,19,7,3,6,,Lady GaGa,Lady GaGa,,,The Fame Monster (Deluxe Version),,Alejandro,4:34,,,,7983,,,Streamline/KonLive/CherryTree Digital,DD,,,,,"N.Khayat,S.G.Germanotta",1986,17/04/2010,05/06/2010,72,50,28,20,16,11,8,6,6,7,6,7,9,12,13,14,18,21,22,28,38,44,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,340,h,2010_040,26,26,9,1,6,,Trey Songz,"Songz, Trey",Featuring Nicki Minaj,,"Passion, Pain & Pleasure",,Bottoms Up,4:01,,,,7745,,,Songbook Digital,DD,,,,,"T.Neverson,T.Scales,E.Miles,D.Johnson,M.James,O.T.Mara",2435,28/08/2010,06/11/2010,22,27,27,20,17,13,13,11,13,10,6,7,8,10,10,11,10,10,11,8,11,14,24,27,32,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,36,h,2010_041,21,20,7,1,6,,Ludacris,Ludacris,,,s,,How Low,3:27,,xc,,7052,,,DTP/Def Jam Digital,DD,,,,,"C.Bridges,T.Williams,C.Ridenhour,E.Sadler,H.Shocklee",1932,26/12/2009,13/02/2010,13,13,23,21,14,10,12,6,8,8,8,7,10,14,16,17,20,24,29,39,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,349,h,2010_042,24,22,1,1,6,,Lil Wayne,Lil Wayne,Featuring Drake,,s,,Right Above It,4:36,,,,7575,,,Cash Money Digital,DD,,,,,"D.Carter,A.Graham,D.A.Johnson",1872,04/09/2010,04/09/2010,6,19,26,28,31,30,39,26,20,20,22,23,27,29,28,32,29,28,25,28,29,40,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,424,h,2010_043,20,16,1,1,6,,Taylor Swift,"Swift, Taylor",,,Speak Now,,Back To December,4:53,,,,7850,,,Big Machine Digital,,,,,,T.Swift,1474,30/10/2010,30/10/2010,6,30,,,74,67,47,43,34,26,27,25,25,26,22,18,20,24,24,29,32,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,53,h,2010_044,20,14,1,1,7,,Ke$ha,Ke$ha,Featuring 30H!3,,Animal,,Blah Blah Blah,2:52,,,,8062,,,Kemosabe/RCA Digital,DD,,,,,"K.Sebert,B.Levin,N.Hitch,S.Foreman",1415,23/01/2010,23/01/2010,7,12,21,27,22,11,11,11,13,16,15,16,22,36,54,60,73,80,86,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
